#1
double solar(24,2) 
  0      0.01
  1      0.01
  2      0.01
  3	 0.01
  4	 0.01
  5	 0.01
  6	 0.01
  7	 0.1
  8 	 0.3
  9 	 0.6
  10	 0.75
  11	 0.9
  12	 1
  13	 0.9
  14	 0.75
  15	 0.6
  16	 0.3
  17	 0.1
  18	 0.01
  19	 0.01
  20	 0.01
  21	 0.01
  22	 0.01
  23	 0.01
double wind(24,2)  
  0      1.01
  1      1.5
  2      1.7
  3	 1.6
  4	 1.9
  5	 1.5
  6	 1.01
  7	 1.01
  8 	 1.01
  9 	 1.01
  10	 1.01
  11	 1.01
  12	 1.01
  13	 1.01
  14	 1.01
  15	 1.01
  16	 1.1
  17	 1.2
  18	 1.3
  19	 1.2
  20	 1.1
  21	 1.01
  22	 1.01
  23	 1.01
double house(24,2)  
  0      0.1
  1      0.1
  2      0.1
  3	 0.1
  4	 0.1
  5	 0.1
  6	 0.2
  7	 0.6
  8 	 0.7
  9 	 0.5
  10	 0.3
  11	 0.5
  12	 1
  13	 0.7
  14	 0.5
  15	 0.2
  16	 0.2
  17	 0.2
  18	 0.5
  19	 0.5
  20	 0.3
  21	 0.3
  22	 0.3
  23	 0.2
double industry(24,2)  
  0      0.5
  1      0.5
  2      0.5
  3	 0.5
  4	 0.1
  5	 0.1
  6	 0.2
  7	 0.2
  8 	 0.2
  9 	 1
  10	 1
  11	 0.2
  12	 0.2
  13	 0.2
  14	 0.2
  15	 0.7
  16	 0.9
  17	 1
  18	 0.2
  19	 0.1
  20	 0.1
  21	 0.1
  22	 0.1
  23	 0.1
